BatchID	Source Plate	Source Well	Destination Plate	Destination Well	Volume
Batch-3	DNA-99100	D06	Dest-003	A01	30
Batch-3	DNA-99100	D09	Dest-003	A02	30
Batch-3	DNA-99100	D12	Dest-003	A03	30
Batch-3	DNA-99100	E01	Dest-003	A04	30
Batch-3	DNA-99100	E05	Dest-003	A05	30
Batch-3	DNA-99100	E07	Dest-003	A06	30
Batch-3	DNA-99100	E09	Dest-003	A07	30
Batch-3	DNA-99100	E12	Dest-003	A08	30
Batch-3	DNA-99100	F02	Dest-003	A09	30
Batch-3	DNA-99100	F04	Dest-003	A10	30
Batch-3	DNA-99100	F07	Dest-003	A11	30
Batch-3	DNA-99100	F11	Dest-003	A12	30
Batch-3	DNA-99100	F12	Dest-003	B01	30
Batch-3	DNA-99100	G01	Dest-003	B02	30
Batch-3	DNA-99100	G03	Dest-003	B03	30
Batch-3	DNA-99100	G07	Dest-003	B04	30
Batch-3	DNA-99100	G08	Dest-003	B05	30
Batch-3	DNA-99100	G09	Dest-003	B06	30
Batch-3	DNA-99100	G11	Dest-003	B07	30
Batch-3	DNA-99100	G12	Dest-003	B08	30
Batch-3	DNA-99100	H04	Dest-003	B09	30
Batch-3	DNA-99100	H07	Dest-003	B10	30
Batch-3	DNA-99100	H11	Dest-003	B11	30
Batch-3	DNA-20201	A01	Dest-003	B12	30
Batch-3	DNA-20201	A02	Dest-003	C01	30
Batch-3	DNA-20201	A03	Dest-003	C02	30
Batch-3	DNA-20201	A04	Dest-003	C03	30
Batch-3	DNA-20201	A05	Dest-003	C05	30
Batch-3	DNA-20201	A06	Dest-003	C06	30
Batch-3	DNA-20201	A07	Dest-003	C07	30
Batch-3	DNA-20201	A08	Dest-003	C08	30
Batch-3	DNA-20201	A09	Dest-003	C09	30
Batch-3	DNA-20201	A10	Dest-003	C10	30
Batch-3	DNA-20201	A11	Dest-003	C11	30
Batch-3	DNA-20201	A12	Dest-003	C12	30
Batch-3	DNA-20201	B01	Dest-003	D01	30
Batch-3	DNA-20201	B02	Dest-003	D02	30
Batch-3	DNA-20201	B03	Dest-003	D03	30
Batch-3	DNA-20201	B04	Dest-003	D04	30
Batch-3	DNA-20201	B05	Dest-003	D05	30
Batch-3	DNA-20201	B06	Dest-003	D06	30
Batch-3	DNA-20201	B08	Dest-003	D07	30
Batch-3	DNA-20201	B09	Dest-003	D08	30
Batch-3	DNA-20201	B11	Dest-003	D09	30
Batch-3	DNA-20201	B12	Dest-003	D10	30
Batch-3	DNA-20201	C01	Dest-003	D11	30
Batch-3	DNA-20201	C02	Dest-003	D12	30
Batch-3	DNA-20201	C03	Dest-003	E01	30
Batch-3	DNA-20201	C05	Dest-003	E02	30
Batch-3	DNA-20201	C06	Dest-003	E03	30
Batch-3	DNA-20201	C07	Dest-003	E04	30
Batch-3	DNA-20201	C08	Dest-003	E05	30
Batch-3	DNA-20201	C10	Dest-003	E06	30
Batch-3	DNA-20201	C11	Dest-003	E07	30
Batch-3	DNA-20201	C12	Dest-003	E08	30
Batch-3	DNA-20201	D01	Dest-003	E09	30
Batch-3	DNA-20201	D02	Dest-003	E10	30
Batch-3	DNA-20201	D03	Dest-003	E11	30
Batch-3	DNA-20201	D04	Dest-003	E12	30
Batch-3	DNA-20201	D05	Dest-003	F01	30
Batch-3	DNA-20201	D06	Dest-003	F02	30
Batch-3	DNA-20201	D07	Dest-003	F03	30
Batch-3	DNA-20201	D08	Dest-003	F04	30
Batch-3	DNA-20201	D09	Dest-003	F05	30
Batch-3	DNA-20201	D10	Dest-003	F06	30
Batch-3	DNA-20201	D11	Dest-003	F07	30
Batch-3	DNA-20201	D12	Dest-003	F08	30
Batch-3	DNA-20201	E01	Dest-003	F09	30
Batch-3	DNA-20201	E02	Dest-003	F10	30
Batch-3	DNA-20201	E03	Dest-003	F11	30
Batch-3	DNA-20201	E04	Dest-003	F12	30
Batch-3	DNA-20201	E05	Dest-003	G01	30
Batch-3	DNA-20201	E06	Dest-003	G02	30
Batch-3	DNA-20201	E07	Dest-003	G03	30
Batch-3	DNA-20201	E08	Dest-003	G04	30
Batch-3	DNA-20201	E09	Dest-003	G05	30
Batch-3	DNA-20201	E10	Dest-003	G06	30
Batch-3	DNA-20201	E11	Dest-003	G07	30
Batch-3	DNA-20201	E12	Dest-003	G08	30
Batch-3	DNA-20201	F01	Dest-003	G09	30
Batch-3	DNA-20201	F02	Dest-003	G10	30
Batch-3	DNA-20201	F03	Dest-003	G11	30
Batch-3	DNA-20201	F05	Dest-003	G12	30
Batch-3	DNA-20201	F06	Dest-003	H01	30
Batch-3	DNA-20201	F07	Dest-003	H02	30
Batch-3	DNA-20201	F08	Dest-003	H03	30
Batch-3	DNA-20201	F09	Dest-003	H04	30
Batch-3	DNA-20201	F10	Dest-003	H05	30
Batch-3	DNA-20201	F11	Dest-003	H06	30
Batch-3	DNA-20201	F12	Dest-003	H07	30
Batch-3	DNA-20201	G01	Dest-003	H08	30
Batch-3	DNA-20201	G02	Dest-003	H09	30
Batch-3	DNA-20201	G03	Dest-003	H10	30
Batch-3	DNA-20201	G04	Dest-003	H11	30
Batch-3	DNA-20201	G05	Dest-003	H12	30
Batch-3	DNA-20201	G06	Dest-003	C04	30
