BatchID	Source Plate	Source Well	Destination Plate	Destination Well	Volume
Batch-1	DNA-21501	A01	Dest-001	G06	30
Batch-1	DNA-21501	A02	Dest-001	D09	30
Batch-1	DNA-21501	A03	Dest-001	D07	30
Batch-1	DNA-21501	A04	Dest-001	B02	30
Batch-1	DNA-21501	A05	Dest-001	G11	30
Batch-1	DNA-21501	A06	Dest-001	G02	30
Batch-1	DNA-21501	A07	Dest-001	F09	30
Batch-1	DNA-21501	A08	Dest-001	D12	30
Batch-1	DNA-21501	A09	Dest-001	B07	30
Batch-1	DNA-21501	A10	Dest-001	E02	30
Batch-1	DNA-21501	A11	Dest-001	A01	30
Batch-1	DNA-21501	A12	Dest-001	C12	30
Batch-1	DNA-21501	B01	Dest-001	A08	30
Batch-1	DNA-21501	B02	Dest-001	D08	30
Batch-1	DNA-21501	B03	Dest-001	A04	30
Batch-1	DNA-21501	B04	Dest-001	A06	30
Batch-1	DNA-21501	B05	Dest-001	C05	30
Batch-1	DNA-21501	B06	Dest-001	H01	30
Batch-1	DNA-21501	B07	Dest-001	G05	30
Batch-1	DNA-21501	B08	Dest-001	H09	30
Batch-1	DNA-21501	B09	Dest-001	E06	30
Batch-1	DNA-21501	B10	Dest-001	B04	30
Batch-1	DNA-21501	B11	Dest-001	F06	30
Batch-1	DNA-21501	B12	Dest-001	E04	30
Batch-1	DNA-21501	C01	Dest-001	B06	30
Batch-1	DNA-21501	C02	Dest-001	H05	30
Batch-1	DNA-21501	C03	Dest-001	C10	30
Batch-1	DNA-21501	C05	Dest-001	H10	30
Batch-1	DNA-21501	C06	Dest-001	E05	30
Batch-1	DNA-21501	C07	Dest-001	F10	30
Batch-1	DNA-21501	C08	Dest-001	F05	30
Batch-1	DNA-21501	C09	Dest-001	A09	30
Batch-1	DNA-21501	C10	Dest-001	H07	30
Batch-1	DNA-21501	C11	Dest-001	C02	30
Batch-1	DNA-21501	C12	Dest-001	D01	30
Batch-1	DNA-21501	D01	Dest-001	D06	30
Batch-1	DNA-21501	D02	Dest-001	G07	30
Batch-1	DNA-21501	D03	Dest-001	G08	30
Batch-1	DNA-21501	D04	Dest-001	E03	30
Batch-1	DNA-21501	D05	Dest-001	C03	30
Batch-1	DNA-21501	D06	Dest-001	F01	30
Batch-1	DNA-21501	D07	Dest-001	D04	30
Batch-1	DNA-21501	D08	Dest-001	H08	30
Batch-1	DNA-21501	D09	Dest-001	B11	30
Batch-1	DNA-21501	D10	Dest-001	F02	30
Batch-1	DNA-21501	D11	Dest-001	E12	30
Batch-1	DNA-21501	D12	Dest-001	H04	30
Batch-1	DNA-98000	A02	Dest-001	C04	30
Batch-1	DNA-96200	A01	Dest-001	D02	30
Batch-1	DNA-96200	A02	Dest-001	B05	30
Batch-1	DNA-96200	A04	Dest-001	F07	30
Batch-1	DNA-96200	A06	Dest-001	A05	30
Batch-1	DNA-96200	A11	Dest-001	A12	30
Batch-1	DNA-96200	B01	Dest-001	G09	30
Batch-1	DNA-96200	B07	Dest-001	E10	30
Batch-1	DNA-96200	B09	Dest-001	G03	30
Batch-1	DNA-96200	C05	Dest-001	G10	30
Batch-1	DNA-96200	C07	Dest-001	C09	30
Batch-1	DNA-96200	C08	Dest-001	G01	30
Batch-1	DNA-96200	C11	Dest-001	C01	30
Batch-1	DNA-96200	C12	Dest-001	B12	30
Batch-1	DNA-96200	D03	Dest-001	F08	30
Batch-1	DNA-96200	D05	Dest-001	B10	30
Batch-1	DNA-96200	D06	Dest-001	C07	30
Batch-1	DNA-96200	D08	Dest-001	H06	30
Batch-1	DNA-96200	E01	Dest-001	A11	30
Batch-1	DNA-96200	E02	Dest-001	D10	30
Batch-1	DNA-96200	E03	Dest-001	G04	30
Batch-1	DNA-96200	E04	Dest-001	H12	30
Batch-1	DNA-96200	E05	Dest-001	B03	30
Batch-1	DNA-96200	E08	Dest-001	E08	30
Batch-1	DNA-96200	E09	Dest-001	F12	30
Batch-1	DNA-96200	E11	Dest-001	E11	30
Batch-1	DNA-96200	E12	Dest-001	D05	30
Batch-1	DNA-96200	F01	Dest-001	C08	30
Batch-1	DNA-96200	F02	Dest-001	C04	30
Batch-1	DNA-96200	F04	Dest-001	A07	30
Batch-1	DNA-96200	F05	Dest-001	C06	30
Batch-1	DNA-96200	F08	Dest-001	B08	30
Batch-1	DNA-96200	F12	Dest-001	A02	30
Batch-1	DNA-96200	G01	Dest-001	G12	30
Batch-1	DNA-96200	G02	Dest-001	A10	30
Batch-1	DNA-96200	G04	Dest-001	C11	30
Batch-1	DNA-96200	G05	Dest-001	H11	30
Batch-1	DNA-96200	G08	Dest-001	D03	30
Batch-1	DNA-96200	G09	Dest-001	D11	30
Batch-1	DNA-96200	G12	Dest-001	H02	30
Batch-1	DNA-96200	H01	Dest-001	H03	30
Batch-1	DNA-96200	H02	Dest-001	E07	30
Batch-1	DNA-96200	H05	Dest-001	F04	30
Batch-1	DNA-96200	H07	Dest-001	A03	30
Batch-1	DNA-96200	H08	Dest-001	E09	30
Batch-1	DNA-96200	H09	Dest-001	B01	30
Batch-1	DNA-96200	H11	Dest-001	B09	30
